hash,pvalue,oddsratio,count_in_samples,count_in_background,total_count,p_adj
1122429606255043,1.0,1.0,1,1,1,1.0
1122422421003657,1.0,1.0,1,1,1,1.0
1122246596892011,1.0,1.0,1,1,1,1.0
1122239838030649,1.0,1.0,1,1,1,1.0
1122055251946033,1.0,1.0,1,1,1,1.0
1127705125880971,1.0,1.0,1,1,1,1.0
1127724981985563,1.0,1.0,1,1,1,1.0
1127728912290559,1.0,1.0,1,1,1,1.0
1133314817316859,1.0,1.0,1,1,1,1.0
1133279381625329,1.0,1.0,1,1,1,1.0
1133031436057530,1.0,1.0,1,1,1,1.0
1132966971703433,1.0,1.0,1,1,1,1.0
1132892398564016,1.0,1.0,1,1,1,1.0
1132635568131946,1.0,1.0,1,1,1,1.0
1132599307737660,1.0,1.0,1,1,1,1.0
1132529633692463,1.0,1.0,1,1,1,1.0
1132508577571793,1.0,1.0,1,1,1,1.0
1132491632250967,1.0,1.0,1,1,1,1.0
1132393838860726,1.0,1.0,1,1,1,1.0
1132369158431303,1.0,1.0,1,1,1,1.0
1132342088163505,1.0,1.0,1,1,1,1.0
1132304175476875,1.0,1.0,1,1,1,1.0
1132172907013334,1.0,1.0,1,1,1,1.0
1132161297390248,1.0,1.0,1,1,1,1.0
1132158809293157,1.0,1.0,1,1,1,1.0
1133390369337089,1.0,1.0,1,1,1,1.0
1132039581557492,1.0,1.0,1,1,1,1.0
1133418930208492,1.0,1.0,1,1,1,1.0
1133631929300108,1.0,1.0,1,1,1,1.0
1134706778330591,1.0,1.0,1,1,1,1.0
1134643061324464,1.0,1.0,1,1,1,1.0
1134602847969415,1.0,1.0,1,1,1,1.0
1134432631253129,1.0,1.0,1,1,1,1.0
1134383780926461,1.0,1.0,1,1,1,1.0
1134243611286296,1.0,1.0,1,1,1,1.0
1134120629544826,1.0,1.0,1,1,1,1.0
1134007334512730,1.0,1.0,1,1,1,1.0
1133893793805571,1.0,1.0,1,1,1,1.0
1133834007577708,1.0,1.0,1,1,1,1.0
1133826283938428,1.0,1.0,1,1,1,1.0
1133773801201059,1.0,1.0,1,1,1,1.0
1133772997003997,1.0,1.0,1,1,1,1.0
1133738049512460,1.0,1.0,1,1,1,1.0
1133692291319963,1.0,1.0,1,1,1,1.0
1133673653872873,1.0,1.0,1,1,1,1.0
1133668839858296,1.0,1.0,1,1,1,1.0
1133524489311301,1.0,1.0,1,1,1,1.0
1135113855980644,1.0,1.0,1,1,1,1.0
1131873654048880,1.0,1.0,1,1,1,1.0
1131540399056481,1.0,1.0,1,1,1,1.0
1128735388776456,1.0,1.0,1,1,1,1.0
1128712169554521,1.0,1.0,1,1,1,1.0
1128675861711506,1.0,1.0,1,1,1,1.0
1128639617119166,1.0,1.0,1,1,1,1.0
1128499362037511,1.0,1.0,1,1,1,1.0
1128485920014506,1.0,1.0,1,1,1,1.0
1128436619594912,1.0,1.0,1,1,1,1.0
1128295055903472,1.0,1.0,1,1,1,1.0
1128264134132406,1.0,1.0,1,1,1,1.0
1128246219959541,1.0,1.0,1,1,1,1.0
1128221178859381,1.0,1.0,1,1,1,1.0
1128154941052688,1.0,1.0,1,1,1,1.0
1128107647375479,1.0,1.0,1,1,1,1.0
1127965413990040,1.0,1.0,1,1,1,1.0
1127889595707577,1.0,1.0,1,1,1,1.0
1127859578650138,1.0,1.0,1,1,1,1.0
